playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
warddu01,1992,WS,TOR,AL,2,0,4,0,0,0,0,10,1,0,0,1,6,0.091,0,0,1,0,0,12,1,0,0,0,0
welchbo01,1992,ALCS,OAK,AL,0,0,1,1,0,0,0,21,7,2,1,1,7,0.25,2.57,0,0,0,0,29,0,2,0,0,0
wellsda01,1992,WS,TOR,AL,0,0,4,0,0,0,0,13,1,0,0,2,3,0.083,0,0,0,0,0,15,1,0,0,1,0
wittbo01,1992,ALCS,OAK,AL,0,0,1,0,0,0,0,3,2,2,0,1,1,0.5,18,0,0,0,0,6,1,2,0,1,0
wohlema01,1992,NLCS,ATL,NL,0,0,3,0,0,0,0,9,2,0,0,1,2,0.182,0,0,0,0,0,12,2,0,0,0,0
wohlema01,1992,WS,ATL,NL,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0
alvarwi01,1993,ALCS,CHA,AL,1,0,1,1,1,0,0,27,7,1,0,2,6,0.226,1,0,0,0,0,33,0,1,0,0,2
anderla02,1993,NLCS,PHI,NL,0,0,3,0,0,0,1,7,4,4,0,1,3,0.364,15.43,1,0,0,0,12,2,4,0,0,0
anderla02,1993,WS,PHI,NL,0,0,4,0,0,0,0,11,5,5,0,3,3,0.312,12.27,1,0,1,0,20,1,5,0,0,0
averyst01,1993,NLCS,ATL,NL,0,0,2,2,0,0,0,39,9,4,1,6,10,0.196,2.77,3,2,0,0,54,0,5,1,1,1
belchti01,1993,ALCS,CHA,AL,1,0,1,0,0,0,0,11,3,1,0,3,1,0.231,2.45,1,1,0,0,16,0,1,0,0,0
bereja01,1993,ALCS,CHA,AL,0,0,1,1,0,0,0,7,5,3,0,2,3,0.417,11.57,0,0,1,0,15,0,3,0,0,0
castito02,1993,ALCS,TOR,AL,0,0,2,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0,0,1
castito02,1993,WS,TOR,AL,1,0,2,0,0,0,0,10,6,3,1,3,1,0.375,8.1,0,0,1,0,20,0,3,0,0,0
coxda01,1993,ALCS,TOR,AL,0,0,2,0,0,0,0,15,3,0,0,2,5,0.214,0,2,0,0,0,19,0,0,2,1,1
coxda01,1993,WS,TOR,AL,0,0,3,0,0,0,0,10,6,3,0,5,6,0.4,8.1,0,0,0,0,20,1,3,0,0,1
deleojo01,1993,ALCS,CHA,AL,0,0,2,0,0,0,0,14,7,1,0,1,6,0.35,1.93,0,0,0,0,21,0,1,0,0,0
eichhma01,1993,ALCS,TOR,AL,0,0,1,0,0,0,0,6,1,0,0,1,1,0.143,0,0,0,0,0,8,0,0,0,0,0
eichhma01,1993,WS,TOR,AL,0,0,1,0,0,0,0,1,1,0,0,1,0,0.5,0,0,0,0,0,3,0,0,0,0,0
fernaal01,1993,ALCS,CHA,AL,0,2,2,2,0,0,0,45,15,3,0,6,10,0.259,1.8,3,0,1,0,66,0,6,1,0,2
glavito02,1993,NLCS,ATL,NL,1,0,1,1,0,0,0,21,6,2,1,0,5,0.222,2.57,0,0,0,0,27,0,2,0,0,0
greento01,1993,NLCS,PHI,NL,1,1,2,2,0,0,0,28,12,10,3,7,7,0.333,9.64,0,0,0,0,45,0,10,2,0,1
greento01,1993,WS,PHI,NL,0,0,1,1,0,0,0,7,7,7,0,4,1,0.538,27,0,0,0,0,17,0,7,0,0,0
guzmaju01,1993,ALCS,TOR,AL,2,0,2,2,0,0,0,39,8,3,1,9,9,0.178,2.08,1,3,1,0,56,0,4,1,0,0
guzmaju01,1993,WS,TOR,AL,0,1,2,2,0,0,0,36,10,5,0,8,12,0.227,3.75,2,1,0,0,53,0,6,1,0,1
hentgpa01,1993,ALCS,TOR,AL,0,1,1,1,0,0,0,9,9,6,0,2,3,0.529,18,0,0,0,0,19,0,6,0,0,0
