year.key,league.key,team.key,park.key,span.first,span.last,games,openings,attendance
2003,AL,DET,DET05,31/03/03,28/09/03,81,80,1368245
2003,NL,FLO,MIA01,31/03/03,28/09/03,81,80,1303214
2003,NL,HOU,HOU03,01/04/03,28/09/03,81,81,2455241
2003,AL,KCA,KAN06,31/03/03,28/09/03,80,78,1779895
2003,NL,LAN,LOS03,07/04/03,21/09/03,81,81,3138696
2003,NL,MIL,MIL06,04/04/03,24/09/03,81,81,1700354
2003,AL,MIN,MIN03,04/04/03,24/09/03,81,81,1946011
2003,NL,MON,MON02,22/04/03,17/09/03,59,59,712757
2003,NL,MON,SJU01,11/04/03,11/09/03,22,22,312882
2003,AL,NYA,NYC16,08/04/03,28/09/03,82,81,3460600
2003,NL,NYN,NYC17,31/03/03,25/09/03,80,77,2168832
